ManagedElementType,SubNetwork,ManagedElement,eNBId,cellLocalId,NE_Name,eNBName,cellName,plmn,plmnIdList,frequency,freqBandInd,bandWidth,pci,tac,radioMode,isMultiCP,connectionState,maintainState,administrativeState,ranShareSwitch,ipAddress,mimVersion_full,mimVersion,mimVersion_8,sceneCfg,cellCapaLeveInd,cellSize,rootSequenceIndex,maxCPTransPwr,cpTransPwr,cpSpeRefSigPwr,paForDTCH,pb,networkingMode,antMapDlSeq,antMapUlSeq,rfAppMode,refEUtranCell,refENBFunction,refPlmn_enb,refPlmn,refECellEquipFunc,endcAnchorImmciSwch,earfcn,enDcSwch,ENBFunctionId,cellRSPortNum,refRfDevice,refBpDevice,rruNames,rruName_5,rruRadioMode,bbuName,functionMode,fiberNum,fiberRate,fiberCascade,McDeviceSet,ccName,rruSN,bpSN,ccSN,bbuSN,rruOnAirTime,aauUnitNum,vbpUnitNum
SDR,441652,541172,541172,54,东源万隆丽景一区室分外引F,东源万隆丽景一区室分外引F,东源京华苑地下室电梯室分_1.8G_0,460-11,460-11;460-01,1850.0,3,20M,72,33800,FDD,0,1,0,5,1,8.150.14.40,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,640,49.0,48.9,18.2,2,1,3,1;0;0;1,1;0;0;1,0,"ENBFunctionFDD=541172,EUtranCellFDD=9",ENBFunctionFDD=541172,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=541172,ECellEquipmentFunction=9",0,1850.0,0,541172,1,"Equipment=1,Rack=59,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A4A),R8862,16,BPN0A,4104,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,541172,541172,2,东源万隆丽景一区室分外引F,东源万隆丽景一区室分外引F,东源霸王花东城国际21栋室分及外引_2.1GF_0,460-11,460-11;460-01,2120.0,1,20M,73,33800,FDD,0,1,0,5,1,8.150.14.40,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,300,46.0,45.9,18.2,2,1,3,1;0;0;0,1;0;0;0,0,"ENBFunctionFDD=541172,EUtranCellFDD=7",ENBFunctionFDD=541172,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=541172,ECellEquipmentFunction=7",0,2120.0,0,541172,0,"Equipment=1,Rack=57,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8882 S2100(B),R8882,16,BPN0A,4104,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,541172,541172,1,东源万隆丽景一区室分外引F,东源万隆丽景一区室分外引F,东源霸王花东城国际8栋外引9栋室分_2.1GF_1,460-11,460-11;460-01,2120.0,1,20M,456,33800,FDD,0,1,0,5,1,8.150.14.40,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,300,46.0,45.9,18.2,2,1,3,1;0;0;0,1;0;0;0,0,"ENBFunctionFDD=541172,EUtranCellFDD=2",ENBFunctionFDD=541172,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=541172,ECellEquipmentFunction=2",0,2120.0,0,541172,0,"Equipment=1,Rack=52,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8882 S2100(B),R8882,16,BPN0,4104,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,541308,541308,53,龙川附城莲西F,龙川附城莲西F,龙川水贝村TF_2,460-11,460-11;460-01,1870.0,3,20M,271,33808,FDD,0,1,0,5,1,8.150.16.68,L_D_V6.10.10.00,V6.10.10.00,V6.10.10,0,2,1,452,49.0,42.9,12.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=541308,EUtranCellFDD=6",ENBFunctionFDD=541308,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=541308,ECellEquipmentFunction=6",0,1870.0,0,541308,1,"Equipment=1,Rack=56,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A4A),R8862,16,BPN0,8392712,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,541172,541172,0,东源万隆丽景一区室分外引F,东源万隆丽景一区室分外引F,东源霸王花东城国际8栋外引9栋室分_2.1GF_0,460-11,460-11;460-01,2120.0,1,20M,59,33800,FDD,0,1,0,5,1,8.150.14.40,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,300,46.0,45.9,18.2,2,1,3,1;0;0;0,1;0;0;0,0,"ENBFunctionFDD=541172,EUtranCellFDD=1",ENBFunctionFDD=541172,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=541172,ECellEquipmentFunction=1",0,2120.0,0,541172,0,"Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8882 S2100(B),R8882,16,BPN0,4104,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,541266,541266,17,龙川登云中学F,龙川登云中学F,龙川登云软塘_800M_1,460-11,460-11,874.2,5,10M,475,9908,FDD,0,1,0,5,1,8.150.20.5,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,140,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=541266,EUtranCellFDD=2",ENBFunctionFDD=541266,"Operator=2,Plmn=1","Operator=2,Plmn=1","ENBFunctionFDD=541266,ECellEquipmentFunction=2",0,874.2,0,541266,1,"Equipment=1,Rack=52,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16,BPN1A,4104,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,540763,540763,16,连平忠信嘉州宾馆LF,连平忠信嘉州宾馆LF,连平忠信老街LF_800M_0（工程）,460-11,460-11;460-01,874.2,5,10M,4,33811,FDD,0,1,0,5,1,8.150.17.4,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,736,49.0,45.9,18.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540763,EUtranCellFDD=4",ENBFunctionFDD=540763,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540763,ECellEquipmentFunction=4",0,874.2,0,540763,1,"Equipment=1,Rack=54,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN2,8409089,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441652,540763,540763,18,连平忠信嘉州宾馆LF,连平忠信嘉州宾馆LF,连平忠信老街LF_800M_2（工程）,460-11,460-11;460-01,874.2,5,10M,5,33811,FDD,0,1,0,5,1,8.150.17.4,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,736,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540763,EUtranCellFDD=6",ENBFunctionFDD=540763,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540763,ECellEquipmentFunction=6",0,874.2,0,540763,1,"Equipment=1,Rack=56,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN2,8409089,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
SDR,441651,540778,540778,53,连平忠信油溪支局F,连平忠信油溪支局F,连平油溪小溪村_1.8GF_2,460-11,460-11;460-01,1850.0,3,20M,329,33811,FDD,0,1,0,5,1,8.150.17.5,L_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,2,1,336,46.0,45.9,15.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=540778,EUtranCellFDD=6",ENBFunctionFDD=540778,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=540778,ECellEquipmentFunction=6",0,1850.0,0,540778,1,"Equipment=1,Rack=56,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S1800(A6A),R8862,16,BPN0,4104,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCC,,,,,,1,1
SDR,441651,542448,542448,16,东源义合高速路口YF_800M（工程）,东源义合高速路口YF800M（工程）,东源义合高速路口YF_800M_0（工程）,460-11,460-11;460-01,874.2,5,10M,293,33806,FDD,0,1,0,5,1,8.150.14.71,LN_D_V6.20.10.00,V6.20.10.00,V6.20.10,0,0,1,660,49.0,48.9,21.2,2,1,3,1;0;0;1,1;1;1;1,0,"ENBFunctionFDD=542448,EUtranCellFDD=1",ENBFunctionFDD=542448,"Operator=2,Plmn=1","Operator=2,Plmn=1;Operator=3,Plmn=1","ENBFunctionFDD=542448,ECellEquipmentFunction=1",0,874.2,0,542448,1,"Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN2,20481,2,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,,,,,,1,1
