ManagedElementType,SubNetwork,ManagedElement,plmn,gNBId,cellLocalId,gNBName,CellName,nrCellScene,caSupport,resourceExpansion,cpIdNum,bwpCfgType,spectrumShareScene,pci,ssbFrequency,frequency,nrbandwidth,frequencyBandList,vswName,vbpName,vbpUnitNum,aauName,coverageType,networkingMode,mimVersion,adminState,cellState,serviceStatus,connectionState,cqiReportPeriod,duplexMode,qcellFlag,reserved251,numberOfRBs_DL,bwp0Bandwidth_DL,firstActiveBwpBandwidth_DL,numberOfRBs_UL,bwp0Bandwidth_UL,firstActiveBwpBandwidth_UL
网元类型,子网,网元ID,PLMN,基站ID,小区ID,基站名称,小区名称,小区场景,CA支持开关,资源自适应开关,小区CP个数,bwp类型,频谱共享开关,pci,ssbFrequency,frequency,nrbandwidth,frequencyBandList,vswName,vbpName,vbpUnitNum,aauName,coverageType,networkingMode,mimVersion,adminState,cellState,serviceStatus,connectionState,cqiReportPeriod,duplexMode,qcellFlag,reserved251,numberOfRBs_DL,bwp0Bandwidth_DL,firstActiveBwpBandwidth_DL,numberOfRBs_UL,bwp0Bandwidth_UL,firstActiveBwpBandwidth_UL
ITBBU,441601,7905534,460-01,7905534,4,市区高塘支局5GBBU_6,GO_N1_河源市区_洗衣屋AAU1,Normal,0,true,1,dualbwp,Normal,818,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905853,460-11,7905853,3,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云梅花-2AAU3,Normal,0,true,1,dualbwp,Normal,230,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905927,460-01,7905927,2,市区枢纽楼5GBBU_15-XJ,GO_N78_河源市区_三友邨C5栋外引AAU2,Normal,0,true,1,multibwp,Normal,8,3408.96,3450.0,,78,VSWd1,VBPd41,1,R9604 S35,Macro,1,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906045,460-01,7906045,3,市区临江支局5GBBU_7-XJ,GS_N1_河源市区_月岛首府3栋5栋7栋外引AAU3,Normal,0,true,1,dualbwp,Normal,447,2144.55,2139.9,,1,VSWd1,VBPd04,1,R9212E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905446,460-01,7905446,4,河源广师大接入网5GBBU_2-XJ,GO_N78_河源东源_广师大河源校区学生宿舍南苑1栋AAU1,Normal,0,true,1,multibwp,Normal,29,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
ITBBU,441601,7906035,460-01,7906035,2,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和热水AAU2,Normal,0,true,1,dualbwp,Normal,5,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905853,460-11,7905853,8,龙川登云支局5GBBU_3-XJ,GO_N1_河源龙川_登云镇TAAU2,Normal,0,true,1,dualbwp,Normal,142,2144.55,2130.0,,1,VSWd1,VBPd24,1,R9224H M1821(ACC),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7906035,460-11,7906035,6,紫金九和支局5GBBU_2-XJ,GO_N1_河源紫金_九和五一AAU3,Normal,0,true,1,dualbwp,Normal,62,2144.55,2130.0,,1,VSWd1,VBPd04,1,R9234E S2100(A8A),Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,FDD,0,0,,,,,,
ITBBU,441601,7905446,460-11,7905446,3,河源广师大接入网5GBBU_2-XJ,GO_N78_河源东源_广师大河源校区厚德楼AAU3,Normal,0,true,1,multibwp,Normal,572,3408.96,3450.0,,78,VSWd1,VBPd01,1,A9631A S35,Macro,2,V5.75.10.20A03,Unlocked,ACTIVE,InService,1,,TDD,0,0,,,,,,
