ManagedElementType,SubNetwork,ManagedElement,eNBId,cellLocalId,NE_Name,eNBName,cellName,enbci,cgi,plmn,frequency,freqBandInd,pci,tac,aauName,aauName_5,vbpName,vswName,aauType,vbpType,vswType,mimVersion,mimVersion_8,mimVersion_Range,cellSize,maxCPTransPwr,cpTransPwr,cpSpeRefSigPwr,rfAppMode,operState,availStatus,connectionState,maintainState,networkingMode,ipAddress,administrativeState,ranShareSwitch,refENBCUCPFunction,refENBCUUPFunction,refENBDUFunction,refCUEUtranCellNBIoT,refDUEUtranCellNBIoT,refECellEquipmentFunctionNB,refSectorFunction,refAauTxRxGroup,refIrRruTxRxGroup,refPrruTxRxGroup,refTxRfLink,refReplaceableUnit_Aau,refReplaceableUnit_IrRru,refReplaceableUnit_Prru,refReplaceableUnit_rru,name_Aau,name_IrRru,name_Prru,name_rru,aauNames,refBpPoolFunction,refReplaceableUnit_bbu,vbpNames,refReplaceableUnit_vsw,functionMode_bbu,refSubRack,subRackType,cellRSPortNum,earfcnDl,aauUnitNum,vbpUnitNum,rruSN,bpSN,ccSN,bbuSN,rruOnAirTime,plmnIdList
ITBBU,441601,7906273,936218,83,东源地运支局5GBBU_2,东源地运支局5GBBU_2,GO_N5_河源东源_蓝口礤头村NBRRU2,936218-83,460-11-936218-83,460-11,869.5,5,221,33914,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.63.78,5,1,ENBCUCPFunction=460-11_936218,ENBCUUPFunction=460-11_936218,ENBDUFunction=460-11_936218,"ENBCUCPFunction=460-11_936218,CUNBIOT=1,CUEUtranCellNBIoT=83","ENBDUFunction=460-11_936218,DUNBIOT=1,DUEUtranCellNBIoT=83","ENBDUFunction=460-11_936218,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=83-0-0-0","SupportFunction=1,SectorFunction=SF_14",,,,"Equipment=1,RfLink=13;Equipment=1,RfLink=14",,,,"Equipment=1,ReplaceableUnit=54;Equipment=1,ReplaceableUnit=54",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_3","Equipment=1,ReplaceableUnit=VBP_1_3",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.5,,,,,,,,
ITBBU,441601,7906273,936218,84,东源地运支局5GBBU_2,东源地运支局5GBBU_2,GO_N5_河源东源_蓝口礤头村NBRRU3,936218-84,460-11-936218-84,460-11,869.1,5,222,33914,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.63.78,5,1,ENBCUCPFunction=460-11_936218,ENBCUUPFunction=460-11_936218,ENBDUFunction=460-11_936218,"ENBCUCPFunction=460-11_936218,CUNBIOT=1,CUEUtranCellNBIoT=84","ENBDUFunction=460-11_936218,DUNBIOT=1,DUEUtranCellNBIoT=84","ENBDUFunction=460-11_936218,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=84-0-0-0","SupportFunction=1,SectorFunction=SF_15",,,,"Equipment=1,RfLink=18;Equipment=1,RfLink=17",,,,"Equipment=1,ReplaceableUnit=55;Equipment=1,ReplaceableUnit=55",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_3","Equipment=1,ReplaceableUnit=VBP_1_3",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.1,,,,,,,,
ITBBU,441601,7906273,936218,80,东源地运支局5GBBU_2,东源地运支局5GBBU_2,GO_N5_河源东源_蓝口礤头YNBRRU1,936218-80,460-11-936218-80,460-11,869.3,5,170,33914,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.63.78,5,1,ENBCUCPFunction=460-11_936218,ENBCUUPFunction=460-11_936218,ENBDUFunction=460-11_936218,"ENBCUCPFunction=460-11_936218,CUNBIOT=1,CUEUtranCellNBIoT=80","ENBDUFunction=460-11_936218,DUNBIOT=1,DUEUtranCellNBIoT=80","ENBDUFunction=460-11_936218,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=80-0-0-0","SupportFunction=1,SectorFunction=SF_11",,,,"Equipment=1,RfLink=2;Equipment=1,RfLink=1",,,,"Equipment=1,ReplaceableUnit=51;Equipment=1,ReplaceableUnit=51",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_3","Equipment=1,ReplaceableUnit=VBP_1_3",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.3,,,,,,,,
ITBBU,441601,7906273,936218,82,东源地运支局5GBBU_2,东源地运支局5GBBU_2,GO_N5_河源东源_蓝口礤头村NBRRU1,936218-82,460-11-936218-82,460-11,869.3,5,220,33914,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.63.78,5,1,ENBCUCPFunction=460-11_936218,ENBCUUPFunction=460-11_936218,ENBDUFunction=460-11_936218,"ENBCUCPFunction=460-11_936218,CUNBIOT=1,CUEUtranCellNBIoT=82","ENBDUFunction=460-11_936218,DUNBIOT=1,DUEUtranCellNBIoT=82","ENBDUFunction=460-11_936218,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=82-0-0-0","SupportFunction=1,SectorFunction=SF_13",,,,"Equipment=1,RfLink=9;Equipment=1,RfLink=10",,,,"Equipment=1,ReplaceableUnit=53;Equipment=1,ReplaceableUnit=53",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_3","Equipment=1,ReplaceableUnit=VBP_1_3",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.3,,,,,,,,
ITBBU,441601,7906273,936218,89,东源地运支局5GBBU_2,东源地运支局5GBBU_2,GO_N5_河源东源_蓝口长江头NBRRU2,936218-89,460-11-936218-89,460-11,869.5,5,43,33914,R9254 S8500(A6A),R9254,VBPd19,VSWd0,,VBPd,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.63.78,5,1,ENBCUCPFunction=460-11_936218,ENBCUUPFunction=460-11_936218,ENBDUFunction=460-11_936218,"ENBCUCPFunction=460-11_936218,CUNBIOT=1,CUEUtranCellNBIoT=89","ENBDUFunction=460-11_936218,DUNBIOT=1,DUEUtranCellNBIoT=89","ENBDUFunction=460-11_936218,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=89-0-0-0","SupportFunction=1,SectorFunction=SF_20",,,,"Equipment=1,RfLink=38;Equipment=1,RfLink=37",,,,"Equipment=1,ReplaceableUnit=60;Equipment=1,ReplaceableUnit=60",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_8","Equipment=1,ReplaceableUnit=VBP_1_8",VBPd19,"Equipment=1,ReplaceableUnit=VSW_1_1",118796,"Equipment=1,SubRack=1",21,1,869.5,,,,,,,,
ITBBU,441601,7906380,936333,80,和平贝墩支局5GBBU_3,和平贝墩支局5GBBU_3,GO_N5_河源和平_贝墩树华基站01NBRRU1,936333-80,460-11-936333-80,460-11,869.5,5,175,33917,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.17.139,5,1,ENBCUCPFunction=460-11_936333,ENBCUUPFunction=460-11_936333,ENBDUFunction=460-11_936333,"ENBCUCPFunction=460-11_936333,CUNBIOT=1,CUEUtranCellNBIoT=80","ENBDUFunction=460-11_936333,DUNBIOT=1,DUEUtranCellNBIoT=80","ENBDUFunction=460-11_936333,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=80-0-0-0","SupportFunction=1,SectorFunction=SF_11",,,,"Equipment=1,RfLink=2;Equipment=1,RfLink=1",,,,"Equipment=1,ReplaceableUnit=51;Equipment=1,ReplaceableUnit=51",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_3","Equipment=1,ReplaceableUnit=VBP_1_3",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.5,,,,,,,,
ITBBU,441601,7906380,936333,86,和平贝墩支局5GBBU_3,和平贝墩支局5GBBU_3,GO_N5_河源和平_贝墩共荣村NBRRU2,936333-86,460-11-936333-86,460-11,869.1,5,10,33917,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.17.139,5,1,ENBCUCPFunction=460-11_936333,ENBCUUPFunction=460-11_936333,ENBDUFunction=460-11_936333,"ENBCUCPFunction=460-11_936333,CUNBIOT=1,CUEUtranCellNBIoT=86","ENBDUFunction=460-11_936333,DUNBIOT=1,DUEUtranCellNBIoT=86","ENBDUFunction=460-11_936333,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=86-0-0-0","SupportFunction=1,SectorFunction=SF_14",,,,"Equipment=1,RfLink=13;Equipment=1,RfLink=14",,,,"Equipment=1,ReplaceableUnit=54;Equipment=1,ReplaceableUnit=54",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_3","Equipment=1,ReplaceableUnit=VBP_1_3",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.1,,,,,,,,
ITBBU,441601,7906380,936333,84,和平贝墩支局5GBBU_3,和平贝墩支局5GBBU_3,GO_N5_河源和平_贝墩河溪基站01NBRRU3,936333-84,460-11-936333-84,460-11,869.3,5,251,33917,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.17.139,5,1,ENBCUCPFunction=460-11_936333,ENBCUUPFunction=460-11_936333,ENBDUFunction=460-11_936333,"ENBCUCPFunction=460-11_936333,CUNBIOT=1,CUEUtranCellNBIoT=84","ENBDUFunction=460-11_936333,DUNBIOT=1,DUEUtranCellNBIoT=84","ENBDUFunction=460-11_936333,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=84-0-0-0","SupportFunction=1,SectorFunction=SF_17",,,,"Equipment=1,RfLink=25;Equipment=1,RfLink=26",,,,"Equipment=1,ReplaceableUnit=57;Equipment=1,ReplaceableUnit=57",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_4","Equipment=1,ReplaceableUnit=VBP_1_4",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.3,,,,,,,,
ITBBU,441601,7906380,936333,83,和平贝墩支局5GBBU_3,和平贝墩支局5GBBU_3,GO_N5_河源和平_贝墩河溪基站01NBRRU2,936333-83,460-11-936333-83,460-11,869.1,5,250,33917,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.17.139,5,1,ENBCUCPFunction=460-11_936333,ENBCUUPFunction=460-11_936333,ENBDUFunction=460-11_936333,"ENBCUCPFunction=460-11_936333,CUNBIOT=1,CUEUtranCellNBIoT=83","ENBDUFunction=460-11_936333,DUNBIOT=1,DUEUtranCellNBIoT=83","ENBDUFunction=460-11_936333,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=83-0-0-0","SupportFunction=1,SectorFunction=SF_16",,,,"Equipment=1,RfLink=22;Equipment=1,RfLink=21",,,,"Equipment=1,ReplaceableUnit=56;Equipment=1,ReplaceableUnit=56",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_4","Equipment=1,ReplaceableUnit=VBP_1_4",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.1,,,,,,,,
ITBBU,441601,7906380,936333,88,和平贝墩支局5GBBU_3,和平贝墩支局5GBBU_3,GO_N5_河源和平_贝墩南坝NBRRU2,936333-88,460-11-936333-88,460-11,869.1,5,16,33917,R9254 S8500(A6A),R9254,VBPe24,VSWd0,,VBPe,VSWd,V5.75.10.20A03,V5.75.10,V5.75.10.20A03,1,40.0,40.0,29.2,0,0,normal,1,0,2,42.50.17.139,5,1,ENBCUCPFunction=460-11_936333,ENBCUUPFunction=460-11_936333,ENBDUFunction=460-11_936333,"ENBCUCPFunction=460-11_936333,CUNBIOT=1,CUEUtranCellNBIoT=88","ENBDUFunction=460-11_936333,DUNBIOT=1,DUEUtranCellNBIoT=88","ENBDUFunction=460-11_936333,DUNBIOT=1,CPResourceNB=1,ECellEquipmentFunctionNB=88-0-0-0","SupportFunction=1,SectorFunction=SF_19",,,,"Equipment=1,RfLink=33;Equipment=1,RfLink=34",,,,"Equipment=1,ReplaceableUnit=59;Equipment=1,ReplaceableUnit=59",,,,R9254 S8500(A6A);R9254 S8500(A6A),R9254 S8500(A6A);R9254 S8500(A6A),"SupportFunction=1,BpPoolFunction=BF_4","Equipment=1,ReplaceableUnit=VBP_1_4",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,"Equipment=1,SubRack=1",21,1,869.1,,,,,,,,
