ManagedElementType,SubNetwork,ManagedElement,eNBId,cellLocalId,NE_Name,eNBName,cellName,enbci,cgi,mcc,mnc,plmn,earfcnDl,frequency,freqBandInd,pci,tac,cellSize,cellRSPortNum,maxCPTransPwr,cpTransPwr,cpSpeRefSigPwr,mimVersion,mimVersion_8,mimVersion_Range,connectionState,maintainState,administrativeState,ranShareSwitch,networkingMode,ipAddress,refENBFunctionNBIoT,refEUtranCellNBIoT,refECellEquipFunc,refPlmn,rfAppMode,refRfDevice,refBpDevice,rruNames,rruName_5,rruRadioMode,bbuName,functionMode,fiberNum,fiberRate,fiberCascade,McDeviceSet,ccName,aauUnitNum,vbpUnitNum,rruSN,bpSN,ccSN,bbuSN,rruOnAirTime,plmnIdList
SDR,441651,541314,541314,82,东源上莞支局F,ENBFunctionNBIoT,东源上莞支局F_NB_2（工程）,541314-82,460-11-541314-82,460,11,460-11,869.3,869.3,5,376,33915,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.48.136,ENBFunctionNBIoT=541314,"ENBFunctionNBIoT=541314,EUtranCellNBIoT=22","ENBFunctionNBIoT=541314,ECellEquipmentFunctionNB=6","Operator=2,Plmn=1",0,"Equipment=1,Rack=56,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,541314,541314,80,东源上莞支局F,ENBFunctionNBIoT,东源上莞支局F_NB_0（工程）,541314-80,460-11-541314-80,460,11,460-11,869.3,869.3,5,377,33915,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.48.136,ENBFunctionNBIoT=541314,"ENBFunctionNBIoT=541314,EUtranCellNBIoT=20","ENBFunctionNBIoT=541314,ECellEquipmentFunctionNB=4","Operator=2,Plmn=1",0,"Equipment=1,Rack=54,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,542484,542484,80,和平热龙温泉度假村LBBU2(原C网BBU:538_和平热龙温泉度假村),ENBFunctionNBIoT,和平热龙温泉度假村F_NB(CL双模)_0（工程）,542484-80,460-11-542484-80,460,11,460-11,869.5,869.5,5,453,33917,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.15.66,ENBFunctionNBIoT=542484,"ENBFunctionNBIoT=542484,EUtranCellNBIoT=2","ENBFunctionNBIoT=542484,ECellEquipmentFunctionNB=1","Operator=1,Plmn=1",0,"Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=3,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,0,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441652,540890,540890,80,市区碧海名居室分外引F,ENBFunctionNBIoT,市区无线中心F_NB_0（工程）,540890-80,460-11-540890-80,460,11,460-11,869.3,869.3,5,488,33903,1,1,34.0,34.0,23.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.3.9,ENBFunctionNBIoT=540890,"ENBFunctionNBIoT=540890,EUtranCellNBIoT=20","ENBFunctionNBIoT=540890,ECellEquipmentFunctionNB=3","Operator=2,Plmn=1",0,"Equipment=1,Rack=53,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,1,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,541314,541314,81,东源上莞支局F,ENBFunctionNBIoT,东源上莞支局F_NB_1（工程）,541314-81,460-11-541314-81,460,11,460-11,869.3,869.3,5,375,33915,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.48.136,ENBFunctionNBIoT=541314,"ENBFunctionNBIoT=541314,EUtranCellNBIoT=21","ENBFunctionNBIoT=541314,ECellEquipmentFunctionNB=5","Operator=2,Plmn=1",0,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441652,542440,542440,80,紫金南岭LF_800M（工程）,ENBFunctionNBIoT,紫金南岭LF_NB_0（工程）,542440-80,460-11-542440-80,460,11,460-11,869.5,869.5,5,429,33913,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.25.10,ENBFunctionNBIoT=542440,"ENBFunctionNBIoT=542440,EUtranCellNBIoT=16","ENBFunctionNBIoT=542440,ECellEquipmentFunctionNB=1","Operator=2,Plmn=1",0,"Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441652,542440,542440,81,紫金南岭LF_800M（工程）,ENBFunctionNBIoT,紫金南岭LF_NB_1（工程）,542440-81,460-11-542440-81,460,11,460-11,869.1,869.1,5,430,33913,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.25.10,ENBFunctionNBIoT=542440,"ENBFunctionNBIoT=542440,EUtranCellNBIoT=17","ENBFunctionNBIoT=542440,ECellEquipmentFunctionNB=2","Operator=2,Plmn=1",0,"Equipment=1,Rack=52,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441652,542440,542440,82,紫金南岭LF_800M（工程）,ENBFunctionNBIoT,紫金南岭LF_NB_2（工程）,542440-82,460-11-542440-82,460,11,460-11,869.3,869.3,5,431,33913,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.25.10,ENBFunctionNBIoT=542440,"ENBFunctionNBIoT=542440,EUtranCellNBIoT=18","ENBFunctionNBIoT=542440,ECellEquipmentFunctionNB=3","Operator=2,Plmn=1",0,"Equipment=1,Rack=53,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=6,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,3,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,540710,540710,80,市区河源中学F,ENBFunctionNBIoT,市区河源中学F_NB_0（工程）,540710-80,460-11-540710-80,460,11,460-11,869.5,869.5,5,399,33904,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.11.136,ENBFunctionNBIoT=540710,"ENBFunctionNBIoT=540710,EUtranCellNBIoT=16","ENBFunctionNBIoT=540710,ECellEquipmentFunctionNB=4","Operator=2,Plmn=1",0,"Equipment=1,Rack=54,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,0,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
SDR,441651,540710,540710,81,市区河源中学F,ENBFunctionNBIoT,市区河源中学F_NB_1（工程）,540710-81,460-11-540710-81,460,11,460-11,869.1,869.1,5,400,33904,1,1,40.0,40.0,29.2,V6.20.10.00,V6.20.10,V6.20.10.00,1,0,5,1,3,8.150.11.136,ENBFunctionNBIoT=540710,"ENBFunctionNBIoT=540710,EUtranCellNBIoT=17","ENBFunctionNBIoT=540710,ECellEquipmentFunctionNB=5","Operator=2,Plmn=1",0,"Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1","Equipment=1,Rack=1,SubRack=1,Slot=8,PlugInUnit=1,SdrDeviceGroup=1",R8862A S8500(A6A),R8862,16;64,BPN1A,20493,0,6,0,"Equipment=1,Rack=1,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1,McDeviceSet=1",CCE1,1,1,,,,,,
