DataTime,NetMode,StatType,StatItem,ItemNum
20260211,LTE,BasicStatistic,4GSiteNumber,1325
20260211,LTE,BasicStatistic,4GMacroSiteNumber,1259
20260211,LTE,BasicStatistic,4GIndoorSiteNumber,146
20260211,LTE,BasicStatistic,TDDSiteNumber,0
20260211,LTE,BasicStatistic,FDDSiteNumber,1325
20260211,LTE,BasicStatistic,4GCellNumber,8252
20260211,LTE,BasicStatistic,4GMacroCellNumber,7727
20260211,LTE,BasicStatistic,4GIndoorCellNumber,525
20260211,LTE,BasicStatistic,TDDCellNumber,0
20260211,LTE,BasicStatistic,FDDCellNumber,8252
20260211,LTE,BasicStatistic,4GSubnetworkNumber,4
20260211,LTE,BasicStatistic,PCINumber,1008
20260211,LTE,BasicStatistic,TACNumber,46
20260211,LTE,RRUStatistic,R9254 S8500(A6A),1790
20260211,LTE,RRUStatistic,R9224H M1821(ACC),386
20260211,LTE,RRUStatistic,R8862A S2100(A4A),390
20260211,LTE,RRUStatistic,R9264 M1821(ACA),239
20260211,LTE,RRUStatistic,R9242 M1821(ACC),18
20260211,LTE,RRUStatistic,R8149 M182135,370
20260211,LTE,RRUStatistic,R9268E M1821(A8A),124
20260211,LTE,RRUStatistic,R9212E S2100(A8A),24
20260211,LTE,RRUStatistic,R9234E S2100(A8A),17
20260211,LTE,RRUStatistic,R8894E M1821(A8C),37
20260211,LTE,RRUStatistic,R8894E S2100(A8C),3
20260211,LTE,RRUStatistic,R8149 M1835B,40
20260211,LTE,RRUStatistic,R9242E M1821(AGA),26
20260211,LTE,RRUStatistic,R8862A S1800(A4A),2562
20260211,LTE,RRUStatistic,R8108 F851821(B1A),1118
20260211,LTE,RRUStatistic,R8862A S8500(A6A),2062
20260211,LTE,RRUStatistic,R8862A S1800(A6A),64
20260211,LTE,RRUStatistic,R8862A S2100(D4A),22
20260211,LTE,RRUStatistic,R8882 S2100(B),41
20260211,LTE,RRUStatistic,R8119 F851821(A1A),111
20260211,LTE,RRUStatistic,A8602 M1821(A4A),30
20260211,LTE,RRUStatistic,R8402 S1800(A5B),38
20260211,LTE,RRUStatistic,R8862A S2100(A6B),5
20260211,LTE,RRUStatistic,R8862A S2100(D4B),12
20260211,LTE,RRUStatistic,R8862A S2100(A6A),20
20260211,LTE,RRUStatistic,R8862A S1800(B6A),17
20260211,LTE,RRUStatistic,R8862A S1800(A4B),2
20260211,LTE,RRUStatistic,R8862A S2100(A4B),23
20260211,LTE,RRUStatistic,R8872A S8500(A8A),22
20260211,LTE,RRUStatistic,A8612 M1821(A6B),1
20260211,LTE,RRUStatistic,R8402 S1800(A5A),2
20260211,LTE,RRUStatistic,R8402 S2100(A5B),4
20260211,LTE,RRUStatistic,R8108 F851821(A5A),174
20260211,LTE,RRUStatistic,R8402 S2100(A5A),2
20260211,LTE,RRUStatistic,R8862A S1800(B6B),1
20260211,LTE,RRUStatistic,R8862 S1800(A6B),1
20260211,LTE,RRUStatistic,R8862 S1800(A6A),3
20260211,LTE,RRUStatistic,R8862 S1800(B6A),1
20260211,LTE,RRUStatistic,R8862 S2100(A6A),3
20260211,LTE,RRUStatistic,R8862A S2100(D6B),1
20260211,LTE,RRUStatistic,R8862A S8500(A6B),3
20260211,LTE,BasebandBoardStatistic,VBPe24,283
20260211,LTE,BasebandBoardStatistic,VBPd19,202
20260211,LTE,BasebandBoardStatistic,VBPd04,62
20260211,LTE,BasebandBoardStatistic,VBPe04,62
20260211,LTE,BasebandBoardStatistic,VBPd24,131
20260211,LTE,BasebandBoardStatistic,BPN0,716
20260211,LTE,BasebandBoardStatistic,BPN0A,207
20260211,LTE,BasebandBoardStatistic,BPN0_b,98
20260211,LTE,BasebandBoardStatistic,BPN1_A,69
20260211,LTE,BasebandBoardStatistic,BPN1A,275
20260211,LTE,BasebandBoardStatistic,BPL1,67
20260211,LTE,BasebandBoardStatistic,BPN2,84
20260211,LTE,BasebandBoardStatistic,BPQ0,23
20260211,LTE,FrequencyBandStatistic,874.2_10M,3877
20260211,LTE,FrequencyBandStatistic,1850.0_20M,1823
20260211,LTE,FrequencyBandStatistic,2120.0_20M,734
20260211,LTE,FrequencyBandStatistic,1870.0_20M,1757
20260211,LTE,FrequencyBandStatistic,1867.5_15M,42
20260211,LTE,FrequencyBandStatistic,2140.0_20M,15
20260211,LTE,FrequencyBandStatistic,1850.0_15M,3
20260211,LTE,FrequencyBandStatistic,1870.0_15M,1
20260211,LTE,VersionStatistic,V5.75.10.20A03#V5.75.10.20F15,2644
20260211,LTE,VersionStatistic,LN_D_V6.20.10.00,1974
20260211,LTE,VersionStatistic,L_D_V6.20.10.00,3526
20260211,LTE,VersionStatistic,LN_D_V6.10.10.00,94
20260211,LTE,VersionStatistic,L_D_V6.10.10.00,14
20260211,NR,BasicStatistic,NRSiteNumber,2564
20260211,NR,BasicStatistic,NRNoneQcellSiteNumber,2260
20260211,NR,BasicStatistic,NRQcellSiteNumber,101
20260211,NR,BasicStatistic,NRSASiteNumber,0
20260211,NR,BasicStatistic,NRNSASiteNumber,2317
20260211,NR,BasicStatistic,TNRSiteNumber,1255
20260211,NR,BasicStatistic,FNRSiteNumber,1309
20260211,NR,BasicStatistic,NRCellNumber,14035
20260211,NR,BasicStatistic,NRNoneQcellCellNumber,13505
20260211,NR,BasicStatistic,NRQcellNumber,530
20260211,NR,BasicStatistic,NRSACellNumber,0
20260211,NR,BasicStatistic,NRNSACellNumber,14035
20260211,NR,BasicStatistic,TNRCellNumber,7073
20260211,NR,BasicStatistic,FNRCellNumber,6962
20260211,NR,BasicStatistic,NRSubnetworkNumber,2
20260211,NR,AAUStatistic,R9234E S2100(A8A),1271
20260211,NR,AAUStatistic,A9642A S35,689
20260211,NR,AAUStatistic,R9604 S35,1042
20260211,NR,AAUStatistic,R8894E M1821(A8C),73
20260211,NR,AAUStatistic,R9254 S8500(A6A),1790
20260211,NR,AAUStatistic,R8149 M2135B,140
20260211,NR,AAUStatistic,R9614 S35,183
20260211,NR,AAUStatistic,R8149 M1835B,40
20260211,NR,AAUStatistic,R9606A S35,187
20260211,NR,AAUStatistic,R9212E S2100(A8A),455
20260211,NR,AAUStatistic,R8894E S2100(A8C),32
20260211,NR,AAUStatistic,A9611 S35,333
20260211,NR,AAUStatistic,A9631A S35,571
20260211,NR,AAUStatistic,R9264 M1821(ACA),242
20260211,NR,AAUStatistic,R9242 M1821(ACC),18
20260211,NR,AAUStatistic,R8862A S2100(A4A),118
20260211,NR,AAUStatistic,R9224H M1821(ACC),386
20260211,NR,AAUStatistic,R9254E S2100(A8A),79
20260211,NR,AAUStatistic,R9268E M1821(A8A),127
20260211,NR,AAUStatistic,R8149 M182135,491
20260211,NR,AAUStatistic,R8149 T3500,1255
20260211,NR,AAUStatistic,R9248 S2100(A4A),18
20260211,NR,AAUStatistic,R9115 M1835,45
20260211,NR,AAUStatistic,A9622A S35,81
20260211,NR,AAUStatistic,AP9642A M35F,6
20260211,NR,AAUStatistic,R9242E M1821(AGA),26
20260211,NR,AAUStatistic,R8862A S2100(A6A),1
20260211,NR,AAUStatistic,R8862A S2100(D6A),1
20260211,NR,BasebandBoardStatistic,VBPd04,603
20260211,NR,BasebandBoardStatistic,VBPd02,264
20260211,NR,BasebandBoardStatistic,VBPd41,467
20260211,NR,BasebandBoardStatistic,VBPd19,202
20260211,NR,BasebandBoardStatistic,VBPe41,90
20260211,NR,BasebandBoardStatistic,VBPe04,179
20260211,NR,BasebandBoardStatistic,VBPe24,301
20260211,NR,BasebandBoardStatistic,VBPe02,14
20260211,NR,BasebandBoardStatistic,VBPc5,98
20260211,NR,BasebandBoardStatistic,VBPd01,216
20260211,NR,BasebandBoardStatistic,VBPd24,131
20260211,NR,BasebandBoardStatistic,VBPe01,36
20260211,NR,BasebandBoardStatistic,VBPd23,1
20260211,NR,BasebandBoardStatistic,VBPe54,2
20260211,NR,BasebandBoardStatistic,VBPe53,2
20260211,NR,FrequencyBandStatistic,2144.55_40M,3510
20260211,NR,FrequencyBandStatistic,3408.96_100M,6747
20260211,NR,FrequencyBandStatistic,2144.55_20M,1310
20260211,NR,FrequencyBandStatistic,877.35_15M,676
20260211,NR,FrequencyBandStatistic,880.95_15M,1114
20260211,NR,FrequencyBandStatistic,3509.76_100M,326
20260211,NR,FrequencyBandStatistic,2118.15_40M,314
20260211,NR,FrequencyBandStatistic,2114.55_20M,38
20260211,NR,VersionStatistic,V5.75.10.20A03#V5.75.10.20F15,13981
20260211,NR,VersionStatistic,V5.75.20.20A04#V5.75.20.20,54
