ManagedElementType,SubNetwork,ManagedElement,eNBId,cellLocalId,NE_Name,eNBName,CellName,plmn,plmnIdList,frequency,freqBandInd,bandWidth,pci,tac,radioMode,isMultiCP,connectionState,maintainState,administrativeState,ranShareSwitch,ipAddress,mimVersion_full,mimVersion,mimVersion_8,sceneCfg,cellCapaLeveInd,cellSize,rootSequenceIndex,maxCPTransPwr,cpTransPwr,cpSpeRefSigPwr,paForDTCH,pb,networkingMode,antMapDlSeq,antMapUlSeq,retTiltValue,vid,ipAddress_1,vid_1,operState,availStatus,enDcSwch,aauName,aauName_5,vbpName,vswName,aauType,vbpType,vswType,mmModeSwch,sharedId,sharedUniqueId,mcc,mnc,refENBCUCPFunction,refENBDUFunction,refCUEUtranCell,refDUEUtranCell,refECellEquipFunc,refSectorFunction,refAauTxRxGroup,refIrRruTxRxGroup,refPrruTxRxGroup,refTxRfLink,refReplaceableUnit_Aau,refReplaceableUnit_IrRru,refReplaceableUnit_Prru,refReplaceableUnit_rru,name_Aau,name_IrRru,name_Prru,name_rru,aauNames,sharedId_Aau,sharedId_IrRru,sharedId_Prru,sharedId_rru,refBpPoolFunction,refReplaceableUnit_bbu,vbpNames,refReplaceableUnit_vsw,functionMode_bbu,isMultiAauType,isMultiVbpType,rfAppMode,refSubRack,subRackType,sharedMeUniqueId,hasSharedMe,coModePSwch,coModeBSwch,coModeISwch,cellRSPortNum,refPlmn,rruSN,bpSN,ccSN,bbuSN,rruOnAirTime,aauUnitNum,vbpUnitNum
ITBBU,441601,7905988,542360,4,市区枢纽楼5GBBU_40,市区枢纽楼5GBBU_40,GS_N1_4G河源市区_广播电视中心RRU1,460-11,460-11;460-01,2120.0,1,20M,387,33801,FDD,0,1,0,5,1,42.50.42.254,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,2,1,282,43.0,42.9,15.2,2,1,2,1;0;0;0,1;0;0;0,,200,42.50.42.254,200,0,normal,0,R8862A S2100(A4A),R8862,VBPd04,VSWd1,,VBPd,VSWd,0,,,460,11,ENBCUCPFunction=460-11_542360,ENBDUFunction=460-11_542360,"ENBCUCPFunction=460-11_542360,CULTE=1,CUEUtranCellFDDLTE=4","ENBDUFunction=460-11_542360,DULTE=1,DUEUtranCellFDDLTE=4","ENBDUFunction=460-11_542360,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=4-4","SupportFunction=1,SectorFunction=SF_4",,,,"Equipment=1,RfLink=29",,,,"Equipment=1,ReplaceableUnit=54",,,,R8862A S2100(A4A),R8862A S2100(A4A),,,,,"SupportFunction=1,BpPoolFunction=BF_8","Equipment=1,ReplaceableUnit=VBP_1_8",VBPd04,"Equipment=1,ReplaceableUnit=VSW_1_1",167946,0,0,0,"Equipment=1,SubRack=1",21,,0,0,0,0,0,"ENBCUCPFunction=460-11_542360,Plmn=1;ENBCUCPFunction=460-11_542360,Plmn=2",,,,,,1,1
ITBBU,441601,7905988,542360,6,市区枢纽楼5GBBU_40,市区枢纽楼5GBBU_40,GS_N1_4G河源市区_农信社RRU1,460-11,460-11;460-01,2120.0,1,20M,41,33795,FDD,0,1,0,5,1,42.50.42.254,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,2,1,264,43.0,42.9,15.2,2,1,2,1;0;0;0,1;0;0;0,,200,42.50.42.254,200,0,normal,0,R8862A S2100(A4A),R8862,VBPd04,VSWd1,,VBPd,VSWd,0,,,460,11,ENBCUCPFunction=460-11_542360,ENBDUFunction=460-11_542360,"ENBCUCPFunction=460-11_542360,CULTE=1,CUEUtranCellFDDLTE=6","ENBDUFunction=460-11_542360,DULTE=1,DUEUtranCellFDDLTE=6","ENBDUFunction=460-11_542360,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=6-6","SupportFunction=1,SectorFunction=SF_6",,,,"Equipment=1,RfLink=25",,,,"Equipment=1,ReplaceableUnit=56",,,,R8862A S2100(A4A),R8862A S2100(A4A),,,,,"SupportFunction=1,BpPoolFunction=BF_8","Equipment=1,ReplaceableUnit=VBP_1_8",VBPd04,"Equipment=1,ReplaceableUnit=VSW_1_1",167946,0,0,0,"Equipment=1,SubRack=1",21,,0,0,0,0,0,"ENBCUCPFunction=460-11_542360,Plmn=1;ENBCUCPFunction=460-11_542360,Plmn=2",,,,,,1,1
ITBBU,441601,7905988,542360,5,市区枢纽楼5GBBU_40,市区枢纽楼5GBBU_40,GS_N1_4G河源市区_广播电视中心RRU2,460-11,460-11;460-01,2120.0,1,20M,431,33801,FDD,0,1,0,5,1,42.50.42.254,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,2,1,240,43.0,42.9,15.2,2,1,2,1;0;0;0,1;0;0;0,,200,42.50.42.254,200,0,normal,0,R8862A S2100(A4A),R8862,VBPd04,VSWd1,,VBPd,VSWd,0,,,460,11,ENBCUCPFunction=460-11_542360,ENBDUFunction=460-11_542360,"ENBCUCPFunction=460-11_542360,CULTE=1,CUEUtranCellFDDLTE=5","ENBDUFunction=460-11_542360,DULTE=1,DUEUtranCellFDDLTE=5","ENBDUFunction=460-11_542360,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=5-5","SupportFunction=1,SectorFunction=SF_5",,,,"Equipment=1,RfLink=33",,,,"Equipment=1,ReplaceableUnit=55",,,,R8862A S2100(A4A),R8862A S2100(A4A),,,,,"SupportFunction=1,BpPoolFunction=BF_8","Equipment=1,ReplaceableUnit=VBP_1_8",VBPd04,"Equipment=1,ReplaceableUnit=VSW_1_1",167946,0,0,0,"Equipment=1,SubRack=1",21,,0,0,0,0,0,"ENBCUCPFunction=460-11_542360,Plmn=1;ENBCUCPFunction=460-11_542360,Plmn=2",,,,,,1,1
ITBBU,441601,7905551,542351,48,龙川登云支局5GBBU_2,龙川登云支局5GBBU_2,GO_N3_4G河源龙川_登云中学AAU1,460-11,460-11;460-01,1870.0,3,20M,21,9908,FDD,0,1,0,5,1,42.50.41.202,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,1,1,408,46.0,45.9,15.2,2,1,2,1;1;0;0,1;1;0;0,,200,42.50.41.202,200,0,normal,0,R9224H M1821(ACC),R9224,VBPd24,VSWd1,,VBPd,VSWd,0,,,460,11,ENBCUCPFunction=460-11_542351,ENBDUFunction=460-11_542351,"ENBCUCPFunction=460-11_542351,CULTE=1,CUEUtranCellFDDLTE=48","ENBDUFunction=460-11_542351,DULTE=1,DUEUtranCellFDDLTE=48","ENBDUFunction=460-11_542351,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=48-7","SupportFunction=1,SectorFunction=SF_17",,,,"Equipment=1,RfLink=7-25;Equipment=1,RfLink=7-26",,,,"Equipment=1,ReplaceableUnit=57",,,,R9224H M1821(ACC),R9224H M1821(ACC),,,,,"SupportFunction=1,BpPoolFunction=BF_6","Equipment=1,ReplaceableUnit=VBP_1_6",VBPd24,"Equipment=1,ReplaceableUnit=VSW_1_1",233486,0,0,0,"Equipment=1,SubRack=1",21,,0,0,0,0,1,"ENBCUCPFunction=460-11_542351,Plmn=1;ENBCUCPFunction=460-11_542351,Plmn=2",,,,,,1,1
ITBBU,441601,7905551,542351,50,龙川登云支局5GBBU_2,龙川登云支局5GBBU_2,GO_N3_4G河源龙川_登云中学AAU3,460-11,460-11;460-01,1850.0,3,20M,23,9908,FDD,0,1,0,5,1,42.50.41.202,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,1,1,420,49.0,48.9,18.2,2,1,2,0;0;1;1,0;0;1;1,5.0;5.0,200,42.50.41.202,200,0,normal,0,R9224H M1821(ACC),R9224,VBPd24,VSWd1,,VBPd,VSWd,0,,,460,11,ENBCUCPFunction=460-11_542351,ENBDUFunction=460-11_542351,"ENBCUCPFunction=460-11_542351,CULTE=1,CUEUtranCellFDDLTE=50","ENBDUFunction=460-11_542351,DULTE=1,DUEUtranCellFDDLTE=50","ENBDUFunction=460-11_542351,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=50-9","SupportFunction=1,SectorFunction=SF_19",,,,"Equipment=1,RfLink=9-35;Equipment=1,RfLink=9-36",,,,"Equipment=1,ReplaceableUnit=59",,,,R9224H M1821(ACC),R9224H M1821(ACC),,,,,"SupportFunction=1,BpPoolFunction=BF_6","Equipment=1,ReplaceableUnit=VBP_1_6",VBPd24,"Equipment=1,ReplaceableUnit=VSW_1_1",233486,0,0,0,"Equipment=1,SubRack=1",21,,0,0,0,0,1,"ENBCUCPFunction=460-11_542351,Plmn=1;ENBCUCPFunction=460-11_542351,Plmn=2",,,,,,1,1
ITBBU,441601,7905551,542351,49,龙川登云支局5GBBU_2,龙川登云支局5GBBU_2,GO_N3_4G河源龙川_登云中学AAU2,460-11,460-11;460-01,1850.0,3,20M,478,9908,FDD,0,1,0,5,1,42.50.41.202,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,1,1,378,52.0,51.9,15.2,2,1,2,1;1;1;1,1;1;1;1,1.0;1.0,200,42.50.41.202,200,0,normal,0,R9224H M1821(ACC),R9224,VBPd24,VSWd1,,VBPd,VSWd,0,,,460,11,ENBCUCPFunction=460-11_542351,ENBDUFunction=460-11_542351,"ENBCUCPFunction=460-11_542351,CULTE=1,CUEUtranCellFDDLTE=49","ENBDUFunction=460-11_542351,DULTE=1,DUEUtranCellFDDLTE=49","ENBDUFunction=460-11_542351,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=49-8","SupportFunction=1,SectorFunction=SF_18",,,,"Equipment=1,RfLink=8-29;Equipment=1,RfLink=8-30;Equipment=1,RfLink=8-31;Equipment=1,RfLink=8-32",,,,"Equipment=1,ReplaceableUnit=58",,,,R9224H M1821(ACC),R9224H M1821(ACC),,,,,"SupportFunction=1,BpPoolFunction=BF_6","Equipment=1,ReplaceableUnit=VBP_1_6",VBPd24,"Equipment=1,ReplaceableUnit=VSW_1_1",233486,0,0,0,"Equipment=1,SubRack=1",21,,0,0,0,0,2,"ENBCUCPFunction=460-11_542351,Plmn=1;ENBCUCPFunction=460-11_542351,Plmn=2",,,,,,1,1
ITBBU,441601,7905551,542351,60,龙川登云支局5GBBU_2,龙川登云支局5GBBU_2,GO_N3_4G河源龙川_登云中学AAU1(二载),460-11,460-11;460-01,1850.0,3,20M,341,9908,FDD,0,1,0,5,1,42.50.41.202,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,2,1,408,46.0,45.9,15.2,2,1,2,1;1;0;0,1;1;0;0,,200,42.50.41.202,200,0,normal,0,R9224H M1821(ACC),R9224,VBPd24,VSWd1,,VBPd,VSWd,0,,,460,11,ENBCUCPFunction=460-11_542351,ENBDUFunction=460-11_542351,"ENBCUCPFunction=460-11_542351,CULTE=1,CUEUtranCellFDDLTE=60","ENBDUFunction=460-11_542351,DULTE=1,DUEUtranCellFDDLTE=60","ENBDUFunction=460-11_542351,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=60-0","SupportFunction=1,SectorFunction=SF_17",,,,"Equipment=1,RfLink=7-25;Equipment=1,RfLink=7-26",,,,"Equipment=1,ReplaceableUnit=57",,,,R9224H M1821(ACC),R9224H M1821(ACC),,,,,"SupportFunction=1,BpPoolFunction=BF_6","Equipment=1,ReplaceableUnit=VBP_1_6",VBPd24,"Equipment=1,ReplaceableUnit=VSW_1_1",233486,0,0,0,"Equipment=1,SubRack=1",21,,0,0,0,0,1,"ENBCUCPFunction=460-11_542351,Plmn=1;ENBCUCPFunction=460-11_542351,Plmn=2",,,,,,1,1
ITBBU,441601,7906490,936441,53,市区临江支局5GBBU_30,市区临江支局5GBBU_30,GS_N3_4G河源市区_赣深高铁博罗隧道洞室10/12/14/16/18/20(6),460-11,460-11;460-01,1850.0,3,20M,136,33803,FDD,1,1,0,5,1,8.150.23.81,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,2,2,1,76,49.0;49.0;49.0;49.0;49.0;49.0,48.9;48.9;48.9;48.9;48.9;48.9,21.2;21.2;21.2;21.2;21.2;21.2,2,1,1,"1;0;0;0,1;0;0;0,1;0;0;0,1;0;0;0,1;0;0;0,1;0;0;0","1;0;0;0,1;0;0;0,1;0;0;0,1;0;0;0,1;0;0;0,1;0;0;0",,200,8.150.23.81,200,0,normal,0,R9264 M1821(ACA),R9264,VBPe04,VSWd1,,VBPe,VSWd,0,,,460,11,ENBCUCPFunction=460-11_936441,ENBDUFunction=460-11_936441,"ENBCUCPFunction=460-11_936441,CULTE=1,CUEUtranCellFDDLTE=53","ENBDUFunction=460-11_936441,DULTE=1,DUEUtranCellFDDLTE=53","ENBDUFunction=460-11_936441,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=48-1;ENBDUFunction=460-11_936441,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=49-2;ENBDUFunction=460-11_936441,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=50-3;ENBDUFunction=460-11_936441,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=51-4;ENBDUFunction=460-11_936441,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=52-5;ENBDUFunction=460-11_936441,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=53-6","SupportFunction=1,SectorFunction=SF_11;SupportFunction=1,SectorFunction=SF_12;SupportFunction=1,SectorFunction=SF_13;SupportFunction=1,SectorFunction=SF_14;SupportFunction=1,SectorFunction=SF_15;SupportFunction=1,SectorFunction=SF_16",,,,"Equipment=1,RfLink=1;Equipment=1,RfLink=5;Equipment=1,RfLink=9;Equipment=1,RfLink=13;Equipment=1,RfLink=17;Equipment=1,RfLink=21",,,,"Equipment=1,ReplaceableUnit=51;Equipment=1,ReplaceableUnit=52;Equipment=1,ReplaceableUnit=53;Equipment=1,ReplaceableUnit=54;Equipment=1,ReplaceableUnit=55;Equipment=1,ReplaceableUnit=56",,,,R9264 M1821(ACA);R9264 M1821(ACA);R9264 M1821(ACA);R9264 M1821(ACA);R9264 M1821(ACA);R9264 M1821(ACA),R9264 M1821(ACA);R9264 M1821(ACA);R9264 M1821(ACA);R9264 M1821(ACA);R9264 M1821(ACA);R9264 M1821(ACA),,,,,"SupportFunction=1,BpPoolFunction=BF_6;SupportFunction=1,BpPoolFunction=BF_6;SupportFunction=1,BpPoolFunction=BF_6;SupportFunction=1,BpPoolFunction=BF_6;SupportFunction=1,BpPoolFunction=BF_6;SupportFunction=1,BpPoolFunction=BF_6","Equipment=1,ReplaceableUnit=VBP_1_6;Equipment=1,ReplaceableUnit=VBP_1_6;Equipment=1,ReplaceableUnit=VBP_1_6;Equipment=1,ReplaceableUnit=VBP_1_6;Equipment=1,ReplaceableUnit=VBP_1_6;Equipment=1,ReplaceableUnit=VBP_1_6",VBPe04;VBPe04;VBPe04;VBPe04;VBPe04;VBPe04,"Equipment=1,ReplaceableUnit=VSW_1_1",4109,0,0,0,"Equipment=1,SubRack=1",21,,0,0,0,0,0,"ENBCUCPFunction=460-11_936441,Plmn=1;ENBCUCPFunction=460-11_936441,Plmn=2",,,,,,6,1
ITBBU,441601,7906609,936501,16,东源船塘支局5GBBU_7,东源船塘支局5GBBU_7,GO_N5_4G河源东源_三河白水塘RRU1,460-11,460-11,874.2,5,10M,98,33807,FDD,0,1,0,5,0,42.50.56.146,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,2,1,6,50.0,49.9,22.2,2,1,2,1;1;1;1,1;1;1;1,,200,42.50.56.146,200,0,normal,0,R9254 S8500(A6A),R9254,VBPe24,VSWd0e,,VBPe,VSWd,0,,,460,11,ENBCUCPFunction=460-11_936501,ENBDUFunction=460-11_936501,"ENBCUCPFunction=460-11_936501,CULTE=1,CUEUtranCellFDDLTE=16","ENBDUFunction=460-11_936501,DULTE=1,DUEUtranCellFDDLTE=16","ENBDUFunction=460-11_936501,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=16-0","SupportFunction=1,SectorFunction=SF_1",,,,"Equipment=1,RfLink=3;Equipment=1,RfLink=4;Equipment=1,RfLink=2;Equipment=1,RfLink=1",,,,"Equipment=1,ReplaceableUnit=51",,,,R9254 S8500(A6A),R9254 S8500(A6A),,,,,"SupportFunction=1,BpPoolFunction=BF_3","Equipment=1,ReplaceableUnit=VBP_1_3",VBPe24,"Equipment=1,ReplaceableUnit=VSW_1_1",53259,0,1,0,"Equipment=1,SubRack=1",21,,0,0,0,0,1,"ENBCUCPFunction=460-11_936501,Plmn=1",,,,,,1,1
ITBBU,441601,7906585,936483,49,市区大学城接入网5GBBU_54,市区大学城接入网5GBBU_54,GS_N3_4G河源市区_技师学院宿舍舒苑楼A1栋PB2,460-11,460-11;460-01,1870.0,3,20M,25,33799,FDD,0,1,0,5,1,42.50.56.94,V5.75.10.20A03#V5.75.10.20F15,V5.75.10.20A03,V5.75.10,0,2,4,240,26.9,23.9,-6.8,2,1,1,0;0;1;1,0;0;1;1,,200,42.50.56.94,200,0,normal,0,R8149 M182135,R8149,VBPe04,VSWd1A,,VBPe,VSWd,0,,,460,11,ENBCUCPFunction=460-11_936483,ENBDUFunction=460-11_936483,"ENBCUCPFunction=460-11_936483,CULTE=1,CUEUtranCellFDDLTE=49","ENBDUFunction=460-11_936483,DULTE=1,DUEUtranCellFDDLTE=49","ENBDUFunction=460-11_936483,DULTE=1,CPResource=1,ECellEquipFuncFDDLTE=49-2","SupportFunction=1,SectorFunction=SF_12",,,"SupportFunction=1,PrruTxRxGroup=25;SupportFunction=1,PrruTxRxGroup=26;SupportFunction=1,PrruTxRxGroup=27;SupportFunction=1,PrruTxRxGroup=28;SupportFunction=1,PrruTxRxGroup=29;SupportFunction=1,PrruTxRxGroup=30;SupportFunction=1,PrruTxRxGroup=31;SupportFunction=1,PrruTxRxGroup=32",,,,"Equipment=1,ReplaceableUnit=21;Equipment=1,ReplaceableUnit=22;Equipment=1,ReplaceableUnit=23;Equipment=1,ReplaceableUnit=24;Equipment=1,ReplaceableUnit=25;Equipment=1,ReplaceableUnit=26;Equipment=1,ReplaceableUnit=27;Equipment=1,ReplaceableUnit=28",,,,R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135,,R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135;R8149 M182135,,,,,"SupportFunction=1,BpPoolFunction=BF_7","Equipment=1,ReplaceableUnit=VBP_1_7",VBPe04,"Equipment=1,ReplaceableUnit=VSW_1_1",4109,0,0,3,"Equipment=1,SubRack=1",21,,0,0,0,0,1,"ENBCUCPFunction=460-11_936483,Plmn=1;ENBCUCPFunction=460-11_936483,Plmn=2",,,,,,8,1
